"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00161552168736366","0.000520679126561829","0","0","0.000469546871087727","0","0","0.000457649706906238","0.000441268602893046","0.000427909049421635","0.000414035896549362","0.000390989403807653","0.000754016453783379","0.00075113392261349","0.000750363034293775","0.000719640430616802","0.000705440822978066","0.00134306792427581","0.000964101469787757","0.112368988914275","0.347646762472036","0.390701015230393","0.342158963165031","0.419139581795462","0.594858761024403","0.669259321717229","0.71634302112051","0.795824362457424","0.862889832836776","1.09056972258336","1.37285774304823","","","","","","",
"Afghanistan","AFG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","1.47044675656526","2.78229378793884","3.00274509701571","1.51666163827","4.59980185017513","5.85804693695626","7.00140621938469","9.68432822023308","12.2610982103162","16.2962979145962","20.0207746331702","20.557977037413","28.5918883516211","26.1022884200757","24.0425872161046","19.5338184151112","22.4976496739405","20.5170680658842","23.1615554708763","25.0273283072291","21.9514163966418","21.2217956848661","22.5545590569769","25.9896302669383","23.0153657377099","25.064450743442","33.8405575637054","34.528474830483","34.7011203430733","32.7944142894291","32.5646198565384","37.0904337167711","37.5722894135033","40.8684806702231","40.6420204248735","40.4345736605644","41.5957196126592","39.2160531216391","39.3925210456082","44.0391806641787","47.0757584741765","46.7060757986035","46.8254537798297","48.2918440904307","52.6918865779784","","","","","","",
"Angola","AGO","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",
"Albania","ALB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",
"Andorra","AND","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","22.0355888941172","24.2755982509996","27.961008623521","28.1585969496083","28.6653148413149","32.4612865071962","30.8759087337528","33.2255402366046","35.6947336673406","43.335886356515","41.1271293813694","38.7762060355914","39.2613859875252","41.374635805653","42.4859702270188","42.3295954117206","41.9967070057466","43.0842957911022","45.0790113651477","47.7755040643796","47.153356506688","48.2320912861684","51.2890286957174","51.7454966688732","51.5717482178473","51.898097636653","51.0432927339102","49.0254872579063","50.5635341379244","50.9120407078005","54.8455083017154","55.3959610037097","56.601260470085","57.7183832222072","60.3319467990311","61.2466615346684","61.0343540910612","61.4085518802323","60.8990535189388","61.5442289737549","61.56341588398","61.1164381471862","62.8145480678077","61.3770755133965","63.8473003045135","","","","","","",
"United Arab Emirates","ARE","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","100","100","100","100","100","100","96.2774957698816","96.2805526036132","96.2933279903827","96.2892483349191","96.2721729490022","96.2871564778463","96.2824179075042","96.2818181818182","96.2916666666667","96.2775089745591","96.2876180713187","96.2803234501348","96.2977197027927","96.2939110070258","96.2941617197856","96.2972871742736","96.2908421537046","96.2925513987193","96.893763509727","96.6317928646696","95.8661971830986","96.3494250119789","96.6115390831223","96.9106749449229","97.2018901139627","97.2362130783678","97.2558139534884","97.6648797145964","97.8648390391776","97.9675892643182","98.1368091871863","98.2946904706701","98.4112263036446","98.5214063523248","98.5999172861797","98.6208576998051","98.5963359755983","98.4776191130029","98.5255091625709","","","","","","",
"Argentina","ARG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","22.9258381307145","23.1881767169841","24.5414650613255","23.3023255813954","24.8815731179498","25.6685199894096","24.7986918828865","19.898905305976","19.7019207778752","22.0218606759684","22.4259120986637","25.6581256581257","24.4215519847453","24.5652270604457","27.4472550535734","27.0779340040406","24.0800169103941","40.3341882632163","48.1459484072776","39.1643673630272","39.1641646308487","37.2559546178486","35.6941015980252","33.9281008262669","39.5538312318138","46.5100594093505","44.1547484024454","45.9493055180241","56.4964519616737","54.6473962433922","47.711257837208","47.6845109113945","51.7103118548299","54.8015773972945","52.4461802428643","46.2903180529433","51.0468742726807","54.2186112298938","51.2299149435281","49.9820377924846","44.818802825055","48.3141262432996","47.2353643279311","48.1996785915942","49.4822602564899","","","","","","",
